state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration_code,sample_duration,pollutant_standard,metric_used,method,year,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,valid_day_count,required_day_count,exceptional_data_count,null_observation_count,primary_exceedance_count,secondary_exceedance_count,certification_indicator,arithmetic_mean,standard_deviation,first_max_value,first_max_datetime,second_max_value,second_max_datetime,third_max_value,third_max_datetime,fourth_max_value,fourth_max_datetime,first_max_nonoverlap_value,first_max_n_o_datetime,second_max_nonoverlap_value,second_max_n_o_datetime,ninety_ninth_percentile,ninety_eighth_percentile,ninety_fifth_percentile,ninetieth_percentile,seventy_fifth_percentile,fiftieth_percentile,tenth_percentile,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change
29,003,0001,44201,1,39.9544,-94.849,WGS84,Ozone,1,1 HOUR,Ozone 1-hour 1979,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET,2011,Parts per million,No Events,5768,99.0,Y,211,214,0,112,0.0,0,Uncertified (past due),0.05219,0.014174,0.109,2011-08-01 15:00,0.097,2011-08-31 14:00,0.093,2011-07-21 17:00,0.089,2011-09-02 14:00,,,,,0.093,0.088,0.075,0.069,0.06,0.051,0.041,Savannah,"SAVANAH: 11796 Highway 71, Savanah, MO 64485",Missouri,Andrew,,41140,"St. Joseph, MO-KS",2021-11-29
29,003,0001,44201,1,39.9544,-94.849,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,2011,Parts per million,No Events,5768,96.0,Y,206,214,0,0,0.0,0,Uncertified (past due),0.047214,0.012147,0.084,2011-08-01 10:00,0.081,2011-08-31 11:00,0.081,2011-10-04 11:00,0.08,2011-07-26 10:00,,,,,0.081,0.08,0.069,0.062,0.055,0.047,0.037,Savannah,"SAVANAH: 11796 Highway 71, Savanah, MO 64485",Missouri,Andrew,,41140,"St. Joseph, MO-KS",2021-11-29
29,003,0001,44201,1,39.9544,-94.849,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,2011,Parts per million,No Events,5768,96.0,Y,206,214,0,0,6.0,6,Uncertified (past due),0.047214,0.012147,0.084,2011-08-01 10:00,0.081,2011-08-31 11:00,0.081,2011-10-04 11:00,0.08,2011-07-26 10:00,,,,,0.081,0.08,0.069,0.062,0.055,0.047,0.037,Savannah,"SAVANAH: 11796 Highway 71, Savanah, MO 64485",Missouri,Andrew,,41140,"St. Joseph, MO-KS",2021-11-29
29,003,0001,44201,1,39.9544,-94.849,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,2011,Parts per million,No Events,4095,97.0,Y,207,214,0,0,8.0,8,Uncertified (past due),0.046995,0.01229,0.084,2011-08-01 10:00,0.081,2011-08-31 11:00,0.081,2011-10-04 11:00,0.08,2011-07-26 10:00,,,,,0.081,0.08,0.069,0.062,0.055,0.047,0.037,Savannah,"SAVANAH: 11796 Highway 71, Savanah, MO 64485",Missouri,Andrew,,41140,"St. Joseph, MO-KS",2021-11-29
29,019,0011,44201,1,39.07803,-92.31632,NAD83,Ozone,1,1 HOUR,Ozone 1-hour 1979,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET,2011,Parts per million,No Events,5863,100.0,Y,214,214,0,17,0.0,0,Uncertified (past due),0.051112,0.011121,0.081,2011-09-02 15:00,0.078,2011-07-22 13:00,0.077,2011-09-01 16:00,0.076,2011-10-05 12:00,,,,,0.077,0.074,0.071,0.065,0.059,0.052,0.042,Finger Lakes,"FINGER LAKES: 1505 East Peaboy Road, Columbia, MO 65202",Missouri,Boone,,17860,"Columbia, MO",2021-11-29
29,019,0011,44201,1,39.07803,-92.31632,NAD83,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,2011,Parts per million,No Events,5877,100.0,Y,214,214,0,0,0.0,0,Uncertified (past due),0.046308,0.010573,0.074,2011-09-02 10:00,0.071,2011-09-01 10:00,0.071,2011-10-05 10:00,0.069,2011-08-02 10:00,,,,,0.071,0.069,0.063,0.058,0.053,0.048,0.037,Finger Lakes,"FINGER LAKES: 1505 East Peaboy Road, Columbia, MO 65202",Missouri,Boone,,17860,"Columbia, MO",2021-11-29
29,019,0011,44201,1,39.07803,-92.31632,NAD83,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,2011,Parts per million,No Events,5877,100.0,Y,214,214,0,0,0.0,0,Uncertified (past due),0.046308,0.010573,0.074,2011-09-02 10:00,0.071,2011-09-01 10:00,0.071,2011-10-05 10:00,0.069,2011-08-02 10:00,,,,,0.071,0.069,0.063,0.058,0.053,0.048,0.037,Finger Lakes,"FINGER LAKES: 1505 East Peaboy Road, Columbia, MO 65202",Missouri,Boone,,17860,"Columbia, MO",2021-11-29
29,019,0011,44201,1,39.07803,-92.31632,NAD83,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,2011,Parts per million,No Events,4162,100.0,Y,213,214,0,0,3.0,3,Uncertified (past due),0.046225,0.010654,0.074,2011-09-02 10:00,0.071,2011-09-01 10:00,0.071,2011-10-05 10:00,0.069,2011-08-02 10:00,,,,,0.071,0.069,0.063,0.058,0.053,0.047,0.037,Finger Lakes,"FINGER LAKES: 1505 East Peaboy Road, Columbia, MO 65202",Missouri,Boone,,17860,"Columbia, MO",2021-11-29
29,021,0005,81102,2,39.741694,-94.858584,WGS84,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Daily Mean,R - P Co Partisol Model 2025 - Gravimetric,2011,Micrograms/cubic meter (25 C),No Events,44,72.0,N,44,61,0,17,0.0,0.0,Uncertified (past due),36.909091,23.12737,107.0,2011-10-06 00:00,81.0,2011-03-16 00:00,77.0,2011-09-12 00:00,75.0,2011-06-08 00:00,,,,,107.0,107.0,77.0,75.0,47.0,32.0,11.0,St. Joseph Pump Station,"ST. JOSEPH PUMP STATION: South  Highway 759, St. Joseph, MO 64501",Missouri,Buchanan,St. Joseph,41140,"St. Joseph, MO-KS",2021-11-08
29,021,0005,81102,1,39.741694,-94.858584,WGS84,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Daily Mean,R - P Co Partisol Model 2025 - Gravimetric,2011,Micrograms/cubic meter (25 C),No Events,81,67.0,N,81,121,0,40,0.0,0.0,Uncertified (past due),33.17284,18.683408,84.0,2011-09-12 00:00,83.0,2011-03-16 00:00,78.0,2011-06-08 00:00,78.0,2011-10-06 00:00,,,,,84.0,83.0,78.0,58.0,40.0,29.0,13.0,St. Joseph Pump Station,"ST. JOSEPH PUMP STATION: South  Highway 759, St. Joseph, MO 64501",Missouri,Buchanan,St. Joseph,41140,"St. Joseph, MO-KS",2021-11-08
29,021,0005,88101,4,39.741694,-94.858584,WGS84,PM2.5 - Local Conditions,1,1 HOUR,,Observed Values,Thermo Scientific TEOM 1405-DF Dichotomous FDMS - FDMS Gravimetric,2011,Micrograms/cubic meter (LC),No Events,4304,49.0,N,194,365,0,2296,,,Uncertified (past due),10.910641,7.873685,179.0,2011-09-22 03:00,50.0,2011-04-13 23:00,47.0,2011-11-15 16:00,44.7,2011-12-10 05:00,,,,,32.2,30.0,25.0,21.0,15.0,9.7,2.8,St. Joseph Pump Station,"ST. JOSEPH PUMP STATION: South  Highway 759, St. Joseph, MO 64501",Missouri,Buchanan,St. Joseph,41140,"St. Joseph, MO-KS",2021-11-08
29,021,0005,88101,4,39.741694,-94.858584,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 24-hour 2006,Daily Mean,,2011,Micrograms/cubic meter (LC),No Events,172,47.0,N,172,365,0,0,0.0,0.0,Uncertified (past due),10.845349,5.171518,29.0,2011-06-07 00:00,25.4,2011-05-11 00:00,24.5,2011-06-08 00:00,23.3,2011-05-10 00:00,,,,,25.4,23.3,20.4,18.5,13.6,9.7,5.0,St. Joseph Pump Station,"ST. JOSEPH PUMP STATION: South  Highway 759, St. Joseph, MO 64501",Missouri,Buchanan,St. Joseph,41140,"St. Joseph, MO-KS",2021-11-08
29,021,0005,88101,4,39.741694,-94.858584,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 2006,Quarterly Means of Daily Means,,2011,Micrograms/cubic meter (LC),No Events,172,47.0,N,172,365,0,0,,,Uncertified (past due),10.845349,5.171518,29.0,2011-06-07 00:00,25.4,2011-05-11 00:00,24.5,2011-06-08 00:00,23.3,2011-05-10 00:00,,,,,25.4,23.3,20.4,18.5,13.6,9.7,5.0,St. Joseph Pump Station,"ST. JOSEPH PUMP STATION: South  Highway 759, St. Joseph, MO 64501",Missouri,Buchanan,St. Joseph,41140,"St. Joseph, MO-KS",2021-11-08
29,021,0005,88101,4,39.741694,-94.858584,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 24-hour 2012,Daily Mean,,2011,Micrograms/cubic meter (LC),No Events,172,47.0,N,172,365,0,0,0.0,0.0,Uncertified (past due),10.845349,5.171518,29.0,2011-06-07 00:00,25.4,2011-05-11 00:00,24.5,2011-06-08 00:00,23.3,2011-05-10 00:00,,,,,25.4,23.3,20.4,18.5,13.6,9.7,5.0,St. Joseph Pump Station,"ST. JOSEPH PUMP STATION: South  Highway 759, St. Joseph, MO 64501",Missouri,Buchanan,St. Joseph,41140,"St. Joseph, MO-KS",2021-11-08
29,021,0005,88101,4,39.741694,-94.858584,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 2012,Quarterly Means of Daily Means,,2011,Micrograms/cubic meter (LC),No Events,172,47.0,N,172,365,0,0,,,Uncertified (past due),10.845349,5.171518,29.0,2011-06-07 00:00,25.4,2011-05-11 00:00,24.5,2011-06-08 00:00,23.3,2011-05-10 00:00,,,,,25.4,23.3,20.4,18.5,13.6,9.7,5.0,St. Joseph Pump Station,"ST. JOSEPH PUMP STATION: South  Highway 759, St. Joseph, MO 64501",Missouri,Buchanan,St. Joseph,41140,"St. Joseph, MO-KS",2021-11-08
29,021,0005,88101,4,39.741694,-94.858584,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 24-hour 1997,Daily Mean,,2011,Micrograms/cubic meter (LC),No Events,172,47.0,N,172,365,0,0,,,Uncertified (past due),10.845349,5.171518,29.0,2011-06-07 00:00,25.4,2011-05-11 00:00,24.5,2011-06-08 00:00,23.3,2011-05-10 00:00,,,,,25.4,23.3,20.4,18.5,13.6,9.7,5.0,St. Joseph Pump Station,"ST. JOSEPH PUMP STATION: South  Highway 759, St. Joseph, MO 64501",Missouri,Buchanan,St. Joseph,41140,"St. Joseph, MO-KS",2021-11-08
29,021,0005,88101,4,39.741694,-94.858584,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 1997,Quarterly Means of Daily Means,,2011,Micrograms/cubic meter (LC),No Events,172,47.0,N,172,365,0,0,34.0,34.0,Uncertified (past due),10.845349,5.171518,29.0,2011-06-07 00:00,25.4,2011-05-11 00:00,24.5,2011-06-08 00:00,23.3,2011-05-10 00:00,,,,,25.4,23.3,20.4,18.5,13.6,9.7,5.0,St. Joseph Pump Station,"ST. JOSEPH PUMP STATION: South  Highway 759, St. Joseph, MO 64501",Missouri,Buchanan,St. Joseph,41140,"St. Joseph, MO-KS",2021-11-08
29,021,0005,88101,3,39.741694,-94.858584,WGS84,PM2.5 - Local Conditions,1,1 HOUR,,Observed Values,Thermo Scientific TEOM 1400 FDMS or 1405 8500C FDMS w/VSCC - FDMS Gravimetric,2011,Micrograms/cubic meter (LC),No Events,1944,22.0,N,87,365,0,216,,,Uncertified (past due),13.887654,8.625507,62.3,2011-02-10 08:00,57.8,2011-01-27 08:00,54.7,2011-01-14 12:00,52.0,2011-01-17 14:00,,,,,40.6,37.0,30.7,25.3,18.2,12.1,5.0,St. Joseph Pump Station,"ST. JOSEPH PUMP STATION: South  Highway 759, St. Joseph, MO 64501",Missouri,Buchanan,St. Joseph,41140,"St. Joseph, MO-KS",2021-11-08
29,021,0005,88101,3,39.741694,-94.858584,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 24-hour 2006,Daily Mean,,2011,Micrograms/cubic meter (LC),No Events,79,22.0,N,79,365,0,0,0.0,0.0,Uncertified (past due),13.865823,6.313841,33.7,2011-01-14 00:00,30.0,2011-01-17 00:00,29.7,2011-03-04 00:00,27.8,2011-01-26 00:00,,,,,33.7,30.0,27.8,23.9,16.5,13.3,6.3,St. Joseph Pump Station,"ST. JOSEPH PUMP STATION: South  Highway 759, St. Joseph, MO 64501",Missouri,Buchanan,St. Joseph,41140,"St. Joseph, MO-KS",2021-11-08
29,021,0005,88101,3,39.741694,-94.858584,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 2006,Quarterly Means of Daily Means,,2011,Micrograms/cubic meter (LC),No Events,79,22.0,N,79,365,0,0,,,Uncertified (past due),13.865823,6.313841,33.7,2011-01-14 00:00,30.0,2011-01-17 00:00,29.7,2011-03-04 00:00,27.8,2011-01-26 00:00,,,,,33.7,30.0,27.8,23.9,16.5,13.3,6.3,St. Joseph Pump Station,"ST. JOSEPH PUMP STATION: South  Highway 759, St. Joseph, MO 64501",Missouri,Buchanan,St. Joseph,41140,"St. Joseph, MO-KS",2021-11-08
29,021,0005,88101,3,39.741694,-94.858584,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 24-hour 2012,Daily Mean,,2011,Micrograms/cubic meter (LC),No Events,79,22.0,N,79,365,0,0,0.0,0.0,Uncertified (past due),13.865823,6.313841,33.7,2011-01-14 00:00,30.0,2011-01-17 00:00,29.7,2011-03-04 00:00,27.8,2011-01-26 00:00,,,,,33.7,30.0,27.8,23.9,16.5,13.3,6.3,St. Joseph Pump Station,"ST. JOSEPH PUMP STATION: South  Highway 759, St. Joseph, MO 64501",Missouri,Buchanan,St. Joseph,41140,"St. Joseph, MO-KS",2021-11-08
29,021,0005,88101,3,39.741694,-94.858584,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 2012,Quarterly Means of Daily Means,,2011,Micrograms/cubic meter (LC),No Events,79,22.0,N,79,365,0,0,,,Uncertified (past due),13.865823,6.313841,33.7,2011-01-14 00:00,30.0,2011-01-17 00:00,29.7,2011-03-04 00:00,27.8,2011-01-26 00:00,,,,,33.7,30.0,27.8,23.9,16.5,13.3,6.3,St. Joseph Pump Station,"ST. JOSEPH PUMP STATION: South  Highway 759, St. Joseph, MO 64501",Missouri,Buchanan,St. Joseph,41140,"St. Joseph, MO-KS",2021-11-08
29,021,0005,88101,3,39.741694,-94.858584,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 24-hour 1997,Daily Mean,,2011,Micrograms/cubic meter (LC),No Events,79,22.0,N,79,365,0,0,,,Uncertified (past due),13.865823,6.313841,33.7,2011-01-14 00:00,30.0,2011-01-17 00:00,29.7,2011-03-04 00:00,27.8,2011-01-26 00:00,,,,,33.7,30.0,27.8,23.9,16.5,13.3,6.3,St. Joseph Pump Station,"ST. JOSEPH PUMP STATION: South  Highway 759, St. Joseph, MO 64501",Missouri,Buchanan,St. Joseph,41140,"St. Joseph, MO-KS",2021-11-08
29,021,0005,88101,3,39.741694,-94.858584,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 1997,Quarterly Means of Daily Means,,2011,Micrograms/cubic meter (LC),No Events,79,22.0,N,79,365,0,0,25.0,25.0,Uncertified (past due),13.865823,6.313841,33.7,2011-01-14 00:00,30.0,2011-01-17 00:00,29.7,2011-03-04 00:00,27.8,2011-01-26 00:00,,,,,33.7,30.0,27.8,23.9,16.5,13.3,6.3,St. Joseph Pump Station,"ST. JOSEPH PUMP STATION: South  Highway 759, St. Joseph, MO 64501",Missouri,Buchanan,St. Joseph,41140,"St. Joseph, MO-KS",2021-11-08
29,027,0002,44201,1,38.70608,-92.09308,NAD83,Ozone,1,1 HOUR,Ozone 1-hour 1979,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET,2011,Parts per million,No Events,5864,100.0,Y,214,214,0,16,0.0,0,Uncertified (past due),0.05086,0.010494,0.083,2011-09-13 15:00,0.076,2011-04-13 15:00,0.076,2011-09-02 14:00,0.074,2011-08-19 15:00,,,,,0.076,0.073,0.069,0.064,0.057,0.052,0.043,New Bloomfield,"NEW BLOOMFIELD: 2625 Medow Lane, New Bloomfield, MO, 65063",Missouri,Callaway,,27620,"Jefferson City, MO",2021-11-29
29,027,0002,44201,1,38.70608,-92.09308,NAD83,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,2011,Parts per million,No Events,5877,100.0,Y,214,214,0,0,0.0,0,Uncertified (past due),0.046224,0.009996,0.07,2011-09-01 10:00,0.07,2011-09-13 10:00,0.069,2011-09-02 10:00,0.068,2011-08-02 10:00,,,,,0.069,0.067,0.063,0.057,0.053,0.048,0.038,New Bloomfield,"NEW BLOOMFIELD: 2625 Medow Lane, New Bloomfield, MO, 65063",Missouri,Callaway,,27620,"Jefferson City, MO",2021-11-29
29,027,0002,44201,1,38.70608,-92.09308,NAD83,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,2011,Parts per million,No Events,5877,100.0,Y,214,214,0,0,0.0,0,Uncertified (past due),0.046224,0.009996,0.07,2011-09-01 10:00,0.07,2011-09-13 10:00,0.069,2011-09-02 10:00,0.068,2011-08-02 10:00,,,,,0.069,0.067,0.063,0.057,0.053,0.048,0.038,New Bloomfield,"NEW BLOOMFIELD: 2625 Medow Lane, New Bloomfield, MO, 65063",Missouri,Callaway,,27620,"Jefferson City, MO",2021-11-29
29,027,0002,44201,1,38.70608,-92.09308,NAD83,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,2011,Parts per million,No Events,4162,100.0,Y,213,214,0,0,0.0,0,Uncertified (past due),0.046061,0.010194,0.07,2011-09-01 10:00,0.07,2011-09-13 10:00,0.069,2011-09-02 10:00,0.068,2011-08-02 10:00,,,,,0.069,0.067,0.063,0.057,0.053,0.048,0.038,New Bloomfield,"NEW BLOOMFIELD: 2625 Medow Lane, New Bloomfield, MO, 65063",Missouri,Callaway,,27620,"Jefferson City, MO",2021-11-29
29,037,0003,44201,1,38.75961,-94.57983,NAD83,Ozone,1,1 HOUR,Ozone 1-hour 1979,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET,2011,Parts per million,No Events,5867,100.0,Y,214,214,0,13,0.0,0.0,Uncertified (past due),0.05436,0.012404,0.089,2011-07-02 16:00,0.085,2011-08-24 13:00,0.084,2011-07-25 15:00,0.084,2011-07-28 13:00,,,,,0.084,0.082,0.076,0.069,0.063,0.055,0.042,Richard Gebaur-South,"RICHARDS GEBAUR - SOUTH: 1802 E 203rd Street, Belton, MO 64012",Missouri,Cass,,28140,"Kansas City, MO-KS",2021-11-29
29,037,0003,44201,1,38.75961,-94.57983,NAD83,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,2011,Parts per million,No Events,5877,100.0,Y,214,214,0,0,0.0,0.0,Uncertified (past due),0.048977,0.011163,0.077,2011-07-28 10:00,0.076,2011-07-25 10:00,0.074,2011-07-02 10:00,0.072,2011-08-31 10:00,,,,,0.074,0.071,0.067,0.063,0.056,0.05,0.039,Richard Gebaur-South,"RICHARDS GEBAUR - SOUTH: 1802 E 203rd Street, Belton, MO 64012",Missouri,Cass,,28140,"Kansas City, MO-KS",2021-11-29
29,037,0003,44201,1,38.75961,-94.57983,NAD83,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,2011,Parts per million,No Events,5877,100.0,Y,214,214,0,0,2.0,2.0,Uncertified (past due),0.048977,0.011163,0.077,2011-07-28 10:00,0.076,2011-07-25 10:00,0.074,2011-07-02 10:00,0.072,2011-08-31 10:00,,,,,0.074,0.071,0.067,0.063,0.056,0.05,0.039,Richard Gebaur-South,"RICHARDS GEBAUR - SOUTH: 1802 E 203rd Street, Belton, MO 64012",Missouri,Cass,,28140,"Kansas City, MO-KS",2021-11-29
29,037,0003,44201,1,38.75961,-94.57983,NAD83,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,2011,Parts per million,No Events,4162,100.0,Y,213,214,0,0,6.0,6.0,Uncertified (past due),0.048704,0.011367,0.077,2011-07-28 10:00,0.076,2011-07-25 10:00,0.074,2011-07-02 10:00,0.072,2011-08-31 10:00,,,,,0.074,0.071,0.067,0.063,0.056,0.05,0.038,Richard Gebaur-South,"RICHARDS GEBAUR - SOUTH: 1802 E 203rd Street, Belton, MO 64012",Missouri,Cass,,28140,"Kansas City, MO-KS",2021-11-29
29,037,0003,88101,3,38.75961,-94.57983,NAD83,PM2.5 - Local Conditions,1,1 HOUR,,Observed Values,Thermo Scientific TEOM 1400 FDMS or 1405 8500C FDMS w/VSCC - FDMS Gravimetric,2011,Micrograms/cubic meter (LC),No Events,7595,87.0,Y,323,365,0,1165,,,Uncertified (past due),10.620908,6.077483,51.2,2011-02-06 21:00,48.6,2011-02-06 22:00,44.6,2011-02-06 18:00,43.1,2011-01-27 00:00,,,,,30.5,26.4,22.1,18.5,13.7,9.6,4.0,Richard Gebaur-South,"RICHARDS GEBAUR - SOUTH: 1802 E 203rd Street, Belton, MO 64012",Missouri,Cass,,28140,"Kansas City, MO-KS",2021-11-08
29,037,0003,88101,3,38.75961,-94.57983,NAD83,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 24-hour 2006,Daily Mean,,2011,Micrograms/cubic meter (LC),No Events,317,87.0,N,317,365,0,0,0.0,0.0,Uncertified (past due),10.571293,5.090469,28.2,2011-01-26 00:00,28.1,2011-01-23 00:00,28.1,2011-02-25 00:00,26.9,2011-02-06 00:00,,,,,26.9,24.1,19.8,17.4,13.5,9.6,4.7,Richard Gebaur-South,"RICHARDS GEBAUR - SOUTH: 1802 E 203rd Street, Belton, MO 64012",Missouri,Cass,,28140,"Kansas City, MO-KS",2021-11-08
29,037,0003,88101,3,38.75961,-94.57983,NAD83,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 2006,Quarterly Means of Daily Means,,2011,Micrograms/cubic meter (LC),No Events,317,87.0,N,317,365,0,0,,,Uncertified (past due),10.571293,5.090469,28.2,2011-01-26 00:00,28.1,2011-01-23 00:00,28.1,2011-02-25 00:00,26.9,2011-02-06 00:00,,,,,26.9,24.1,19.8,17.4,13.5,9.6,4.7,Richard Gebaur-South,"RICHARDS GEBAUR - SOUTH: 1802 E 203rd Street, Belton, MO 64012",Missouri,Cass,,28140,"Kansas City, MO-KS",2021-11-08
